"","Nodes","Edges","Density","Clustering Coefficient","Mean Distance","Number of Communities","Modularity","Size of 1st Community","Size of 2nd Community","Size of 3rd Community"
"Before Recession",396,5901,0.0754507096279248,0.530368514394759,2.25180923155607,7,0.425682472890122,0.237373737373737,0.19949494949495,0.161616161616162
"Recession",477,4768,0.0419991896129521,0.378808868246642,2.48129659703255,14,0.447332445812705,0.119496855345912,0.117400419287212,0.111111111111111
"After Recession",733,10897,0.0406183138386301,0.337044798315838,2.36079688521756,14,0.34082223744629,0.154160982264666,0.125511596180082,0.122783083219645
