"","Nodes","Edges","Density","Clustering Coefficient","Mean Distance","Number of Communities","Modularity","Size of 1st Community","Size of 2nd Community","Size of 3rd Community"
"Before Recession",602,9571,0.0529073913355924,0.33827516806664,2.24607542528979,11,0.343655564863597,0.172757475083056,0.136212624584718,0.131229235880399
"Recession",1019,20868,0.0402335970200763,0.299594581520116,2.28421068963444,11,0.324066565713282,0.194308145240432,0.182531894013739,0.135426889106968
"After Recession",952,12918,0.0285369668372081,0.299826757424805,2.35175821616315,68,0.382586705410005,0.136554621848739,0.116596638655462,0.111344537815126
