"","Nodes","Edges","Density","Clustering Coefficient","Mean Distance","Number of Communities","Modularity","Size of 1st Community","Size of 2nd Community","Size of 3rd Community"
"Before Recession",433,5777,0.0617675990077838,0.397282973536374,2.2368388773041,18,0.418203246555723,0.191685912240185,0.15473441108545,0.138568129330254
"Recession",447,4594,0.0460870175860997,0.398710655136331,2.47491290635114,15,0.489916169549421,0.194630872483221,0.143176733780761,0.114093959731544
"After Recession",790,10726,0.0344162615712888,0.299719577832572,2.36651212115334,11,0.395376835526021,0.181012658227848,0.155696202531646,0.151898734177215
