"","Nodes","Edges","Density","Clustering Coefficient","Mean Distance","Number of Communities","Modularity","Size of 1st Community","Size of 2nd Community","Size of 3rd Community"
"Before Recession",528,6180,0.0444195273417285,0.401544294798373,2.44553008658481,12,0.453145001590826,0.138257575757576,0.130681818181818,0.121212121212121
"Recession",594,6928,0.0393365924563226,0.320718680428465,2.40046073992775,10,0.409239040606888,0.213804713804714,0.175084175084175,0.154882154882155
"After Recession",641,9698,0.0472796411856474,0.351039038782229,2.34140258215962,12,0.3907753215195,0.143525741029641,0.140405616224649,0.140405616224649
