"","Nodes","Edges","Density","Clustering Coefficient","Mean Distance","Number of Communities","Modularity","Size of 1st Community","Size of 2nd Community","Size of 3rd Community"
"Before Recession",763,12231,0.0420738692067161,0.441592341605872,2.38524734342504,10,0.402192009688146,0.158584534731324,0.148099606815203,0.148099606815203
"Recession",840,12646,0.0358873942902548,0.302588899397025,2.347322218461,11,0.357274726335093,0.169047619047619,0.148809523809524,0.125
"After Recession",895,16046,0.0401084823716146,0.336202908795893,2.36186496514025,10,0.36352998122532,0.30391061452514,0.147486033519553,0.134078212290503
