"","Nodes","Edges","Density","Clustering Coefficient","Mean Distance","Number of Communities","Modularity","Size of 1st Community","Size of 2nd Community","Size of 3rd Community"
"Before Recession",263,2855,0.0828665138014106,0.529582806573957,2.26477203647416,11,0.5076546695778,0.224334600760456,0.171102661596958,0.133079847908745
"Recession",331,3855,0.0705850041197473,0.434810974144147,2.28944429186121,8,0.425783022944316,0.208459214501511,0.178247734138973,0.175226586102719
"After Recession",776,11017,0.0366378450282674,0.295847627002357,2.37845693382108,10,0.358584615156864,0.164948453608247,0.158505154639175,0.152061855670103
