"","Nodes","Edges","Density","Clustering Coefficient","Mean Distance","Number of Communities","Modularity","Size of 1st Community","Size of 2nd Community","Size of 3rd Community"
"Before Recession",700,9479,0.0387451461271204,0.342659658994426,2.4035236584396,13,0.421326080864556,0.145714285714286,0.137142857142857,0.104285714285714
"Recession",610,7598,0.0409055425448868,0.356369025979474,2.41198538526783,13,0.417068066224505,0.136065573770492,0.121311475409836,0.10655737704918
"After Recession",912,15487,0.037280701754386,0.317039395433187,2.37691276924158,14,0.356505915470445,0.201754385964912,0.164473684210526,0.157894736842105
